sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.000000
1	2	Ġbee	23.629046
1	3	keeping	4.228593
1	4	Ġencourages	14.358519
1	5	Ġthe	2.697638
1	6	Ġconservation	6.256491
1	7	Ġof	0.198918
1	8	Ġlocal	6.894665
1	9	Ġhabitats	4.182471
2	1	<|endoftext|>	0.000000
2	2	Ġit	12.705676
2	3	Ġis	3.003363
2	4	Ġin	6.900673
2	5	Ġevery	8.391861
2	6	Ġbee	15.210715
2	7	keeper	2.805176
2	8	's	0.046101
2	9	Ġinterest	0.525176
2	10	Ġto	0.599851
2	11	Ġconserve	8.585914
2	12	Ġlocal	10.531402
2	13	Ġplants	7.133269
2	14	Ġthat	4.771150
2	15	Ġproduce	5.818543
2	16	Ġpollen	4.811540
3	1	<|endoftext|>	0.000000
3	2	Ġas	12.635122
3	3	Ġa	3.490296
3	4	Ġpassive	11.514068
3	5	Ġform	7.168795
3	6	Ġof	0.421529
3	7	Ġagriculture	14.024536
3	8	Ġit	8.956925
3	9	Ġdoes	6.123496
3	10	Ġnot	0.491715
3	11	Ġrequire	4.132132
3	12	Ġthat	4.995876
3	13	Ġnative	12.266279
3	14	Ġvegetation	5.429930
3	15	Ġbe	0.737376
3	16	Ġcleared	5.806065
3	17	Ġto	3.811165
3	18	Ġmake	4.079083
3	19	Ġway	2.560842
3	20	Ġfor	0.020072
3	21	Ġcrops	4.691184
4	1	<|endoftext|>	0.000000
4	2	Ġbee	23.629046
4	3	keepers	2.784698
4	4	Ġalso	7.706095
4	5	Ġdiscourage	11.935282
4	6	Ġthe	2.959453
4	7	Ġuse	1.716187
4	8	Ġof	0.009473
4	9	Ġpesticides	1.347248
4	10	Ġon	4.142248
4	11	Ġcrops	3.959312
4	12	Ġbecause	6.372105
4	13	Ġthey	1.277893
4	14	Ġcould	6.565363
4	15	Ġkill	5.530992
4	16	Ġthe	2.364069
4	17	Ġhoney	6.008734
4	18	bees	1.675449
5	1	<|endoftext|>	0.000000
5	2	Ġartisan	23.575894
5	3	al	1.521426
5	4	Ġbee	12.872732
5	5	keepers	3.405492
5	6	Ġgo	10.195912
5	7	Ġto	2.547787
5	8	Ġextremes	6.990566
5	9	Ġfor	4.646216
5	10	Ġtheir	2.130311
5	11	Ġcraft	7.853161
5	12	Ġbut	8.690073
5	13	Ġtheir	5.085671
5	14	Ġproduct	9.161217
5	15	Ġis	1.248885
5	16	Ġworth	5.981006
5	17	Ġthe	2.150577
5	18	Ġeffort	1.710722
6	1	<|endoftext|>	0.000000
6	2	Ġartisan	23.575894
6	3	al	1.521426
6	4	Ġhoney	9.643333
6	5	-	6.375433
6	6	making	4.018593
6	7	Ġemphasizes	18.822414
6	8	Ġquality	7.312085
6	9	Ġand	2.142470
6	10	Ġcharacter	7.579957
6	11	Ġover	4.950984
6	12	Ġquantity	0.697085
6	13	Ġand	2.515420
6	14	Ġconsistency	6.403569
7	1	<|endoftext|>	0.000000
7	2	Ġto	10.430150
7	3	Ġproduce	10.277696
7	4	Ġthe	3.924729
7	5	Ġfinest	9.192114
7	6	Ġhoney	11.973147
7	7	Ġbee	6.543237
7	8	keepers	10.631581
7	9	Ġbecome	16.861128
7	10	Ġmic	19.457649
7	11	roman	3.182439
7	12	agers	1.782852
7	13	Ġof	2.791959
7	14	Ġtheir	3.268879
7	15	Ġhoney	3.411702
7	16	bees	3.758683
8	1	<|endoftext|>	0.000000
8	2	Ġthey	14.491269
8	3	Ġscout	17.406634
8	4	Ġthe	3.604530
8	5	Ġfields	8.768578
8	6	Ġknow	15.408726
8	7	Ġwhen	5.927184
8	8	Ġn	12.363442
8	9	ectar	7.260858
8	10	Ġflows	5.010443
8	11	Ġand	4.195883
8	12	Ġselect	12.713666
8	13	Ġthe	1.574579
8	14	Ġbest	2.091906
8	15	Ġways	9.362347
8	16	Ġto	0.140989
8	17	Ġextract	6.000461
8	18	Ġhoney	7.824285
9	1	<|endoftext|>	0.000000
9	2	Ġas	12.635122
9	3	Ġthe	5.135089
9	4	Ġbee	14.248040
9	5	keeper	2.634290
9	6	Ġopens	10.863023
9	7	Ġthe	3.013080
9	8	Ġhive	3.599761
9	9	Ġthe	9.612955
9	10	Ġdeep	12.667306
9	11	Ġhum	12.776764
9	12	Ġof	0.635728
9	13	Ġ4	13.168764
9	14	0000	12.041938
9	15	Ġbees	1.047950
9	16	Ġfills	7.310987
9	17	Ġthe	0.536461
9	18	Ġair	2.178822
10	1	<|endoftext|>	0.000000
10	2	Ġthe	11.402031
10	3	Ġbee	14.508456
10	4	keeper	2.902861
10	5	Ġchecks	13.564555
10	6	Ġhoney	12.624644
10	7	Ġstores	11.572952
10	8	Ġpollen	19.732893
10	9	Ġsupplies	9.753015
10	10	Ġand	2.962227
10	11	Ġthe	5.410303
10	12	Ġbee	2.618753
10	13	Ġnursery	14.330555
11	1	<|endoftext|>	0.000000
11	2	Ġbees	22.854629
11	3	Ġcrawl	15.336938
11	4	Ġacross	5.083377
11	5	Ġhis	8.791948
11	6	Ġbare	8.347029
11	7	Ġarms	6.582275
11	8	Ġand	2.500775
11	9	Ġhands	7.087554
11	10	Ġbut	8.854051
11	11	Ġthey	3.960002
11	12	Ġdon	3.363850
11	13	't	0.000582
11	14	Ġsting	6.834791
11	15	Ġbecause	6.329297
11	16	Ġthey	1.668140
11	17	're	1.734501
11	18	Ġgentle	11.282012
12	1	<|endoftext|>	0.000000
12	2	Ġi	15.053864
12	3	Ġhave	6.282401
12	4	Ġa	2.965093
12	5	Ġrecurring	13.140061
12	6	Ġdream	5.174275
12	7	Ġabout	3.863523
12	8	Ġexams	15.776332
12	9	Ġeven	11.355497
12	10	Ġthough	0.721009
12	11	Ġi	1.630377
12	12	'm	4.808400
12	13	Ġno	7.007380
12	14	Ġlonger	1.568788
12	15	Ġin	3.305832
12	16	Ġcollege	3.577979
13	1	<|endoftext|>	0.000000
13	2	Ġin	11.142896
13	3	Ġmy	7.677444
13	4	Ġdream	10.349489
13	5	Ġit	8.512748
13	6	's	2.969076
13	7	Ġthe	4.587395
13	8	Ġday	6.779760
13	9	Ġof	2.791121
13	10	Ġmy	3.396963
13	11	Ġfinal	7.693805
13	12	Ġexam	5.102716
13	13	Ġand	3.584988
13	14	Ġi	6.456996
13	15	Ġsuddenly	10.219729
13	16	Ġrealize	4.229489
13	17	Ġi	2.775848
13	18	've	4.393328
13	19	Ġnever	3.264562
13	20	Ġgone	8.456161
13	21	Ġto	1.903877
13	22	Ġclass	3.148201
14	1	<|endoftext|>	0.000000
14	2	Ġi	15.053864
14	3	've	7.285063
14	4	Ġnever	4.644623
14	5	Ġeven	6.630939
14	6	Ġdone	5.711869
14	7	Ġany	4.918455
14	8	Ġof	2.411467
