sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.000000
1	2	Ġbee	23.629046
1	3	keeping	4.228593
1	4	Ġconservation	10.747170
1	5	Ġhabitats	14.792244
1	6	.	2.805186
1	7	Ġit	13.992409
1	8	Ġbee	11.891615
1	9	keeper	2.990949
1	10	Ġinterest	12.251241
1	11	Ġplants	15.106214
1	12	Ġpollen	14.665979
1	13	.	4.462436
1	14	Ġform	13.841736
1	15	Ġagriculture	10.693165
1	16	Ġit	10.893649
1	17	Ġvegetation	11.715129
1	18	Ġway	12.805542
1	19	Ġcrops	7.689635
1	20	.	3.292427
1	21	Ġbee	5.084074
1	22	keepers	3.187941
1	23	Ġuse	6.484415
1	24	Ġpesticides	4.982631
1	25	Ġcrops	12.138794
1	26	Ġthey	7.998840
1	27	Ġhoney	8.444380
1	28	bees	3.140690
1	29	.	4.320926
2	1	<|endoftext|>	0.000000
2	2	Ġbee	23.629046
2	3	keepers	2.784698
2	4	Ġextremes	23.001456
2	5	Ġtheir	8.880991
2	6	Ġcraft	11.883374
2	7	Ġtheir	14.151939
2	8	Ġproduct	7.485372
2	9	Ġeffort	14.779868
2	10	.	2.828420
2	11	Ġhoney	15.045342
2	12	Ġmaking	12.840584
2	13	Ġquality	11.763242
2	14	Ġcharacter	16.297841
2	15	Ġquantity	19.559482
2	16	Ġconsistency	11.605891
2	17	.	5.609801
2	18	Ġhoney	6.625431
2	19	Ġbee	5.655019
2	20	keepers	6.148157
2	21	Ġmic	13.701522
2	22	roman	0.272408
2	23	agers	7.595674
2	24	Ġtheir	6.205319
2	25	Ġhoney	6.084579
2	26	bees	7.925870
2	27	.	3.226371
2	28	Ġthey	6.282003
2	29	Ġfields	17.070576
2	30	Ġn	12.698517
2	31	ectar	0.728410
2	32	Ġways	14.249196
2	33	Ġhoney	5.399312
2	34	.	9.388814
3	1	<|endoftext|>	0.000000
3	2	Ġbee	23.629046
3	3	keeper	2.391164
3	4	Ġhum	16.552225
3	5	Ġbees	16.344662
3	6	Ġair	13.626699
3	7	.	6.108006
3	8	Ġbee	8.428908
3	9	keeper	1.255710
3	10	Ġhoney	6.830035
3	11	Ġstores	15.492994
3	12	Ġpollen	10.678332
3	13	Ġsupplies	10.720744
3	14	Ġbee	5.497708
3	15	Ġnursery	14.010585
3	16	.	3.539781
3	17	Ġbees	3.302603
3	18	Ġcrawl	12.441226
3	19	Ġhis	12.196496
3	20	Ġarms	11.076900
3	21	Ġhands	13.135253
3	22	Ġthey	13.700785
3	23	Ġthey	10.795778
3	24	.	8.045163
4	1	<|endoftext|>	0.000000
4	2	Ġi	15.053864
4	3	Ġdream	15.555562
4	4	Ġexams	21.252577
4	5	Ġi	5.146238
4	6	Ġcollege	15.291477
4	7	.	7.386220
4	8	Ġmy	5.415321
4	9	Ġdream	2.955212
4	10	Ġit	10.921950
4	11	Ġday	12.532992
4	12	Ġmy	8.328730
4	13	Ġexam	7.457996
4	14	Ġi	4.065442
4	15	Ġi	8.143404
4	16	Ġclass	10.403165
4	17	.	2.601643
4	18	Ġi	1.814028
4	19	Ġreading	14.191807
4	20	Ġassignments	10.331650
4	21	.	1.961890
4	22	Ġi	0.943155
4	23	Ġpeople	10.661704
4	24	Ġwho	4.565252
4	25	Ġnightmare	19.014621
4	26	.	2.812518
5	1	<|endoftext|>	0.000000
5	2	Ġmorning	21.004965
5	3	Ġparticipants	17.012053
5	4	Ġstudy	12.902206
5	5	Ġtheir	4.689013
5	6	Ġdream	12.353851
5	7	Ġexperience	9.470628
5	8	Ġnight	12.244272
5	9	.	5.768143
5	10	Ġthey	10.306242
5	11	Ġthey	13.429554
5	12	Ġdreams	11.197150
5	13	Ġdream	7.918399
5	14	Ġits	11.779985
5	15	Ġintensity	10.129266
5	16	.	2.674286
5	17	Ġparticipants	11.361447
5	18	Ġdream	3.389662
5	19	Ġcategory	17.124269
5	20	Ġflying	15.041845
5	21	Ġdream	5.618828
5	22	Ġdream	6.612898
5	23	Ġnightmare	9.976617
5	24	.	4.594844
6	1	<|endoftext|>	0.000000
6	2	Ġnight	19.485354
6	3	Ġwe	10.261606
6	4	Ġour	15.386422
6	5	Ġminds	13.098472
6	6	Ġwe	8.999372
6	7	.	10.074297
6	8	Ġwe	7.192780
6	9	Ġnight	11.886603
6	10	Ġcycles	16.152113
6	11	Ġminutes	16.120975
6	12	.	2.787068
6	13	Ġimages	14.551504
6	14	Ġfeelings	19.040308
6	15	Ġstories	10.183995
6	16	Ġcombinations	15.060468
6	17	Ġcharacters	9.527814
6	18	Ġplaces	10.147591
6	19	Ġour	7.751207
6	20	Ġdreams	6.817659
6	21	.	3.836805
7	1	<|endoftext|>	0.000000
7	2	Ġi	15.053864
7	3	Ġcards	17.310787
7	4	Ġthings	13.126142
7	5	.	5.712774
7	6	Ġgambling	15.498113
7	7	Ġsomething	11.296797
7	8	Ġi	5.384105
7	9	Ġi	10.748036
7	10	Ġit	9.254699
7	11	.	2.590787
7	12	Ġmy	7.776878
7	13	Ġfriends	5.468935
7	14	Ġme	9.449949
7	15	Ġmy	5.104360
7	16	Ġsavings	11.360068
7	17	.	3.012574
7	18	Ġpart	11.784178
7	19	Ġhorror	18.989801
7	20	Ġcasino	13.814473
7	21	Ġmoney	9.766789
7	22	Ġi	4.528385
7	23	.	6.825188
8	1	<|endoftext|>	0.000000
8	2	Ġdata	16.337449
8	3	Ġeffects	15.910354
8	4	Ġgambling	16.831328
8	5	.	4.531652
8	6	Ġstudies	15.498047
8	7	Ġcasino	12.567627
8	8	Ġgambling	1.685700
8	9	Ġproblems	10.090087
8	10	.	1.705840
8	11	Ġgambling	4.426337
8	12	Ġbankrupt	15.667369
8	13	cies	1.028419
8	14	Ġmarriage	16.079141
8	15	Ġproblems	5.236606
8	16	.	1.634267
9	1	<|endoftext|>	0.000000
9	2	Ġgeneration	21.746950
9	3	Ġthere	12.897705
9	4	Ġexpansion	20.551777
9	5	Ġgambling	16.330999
9	6	.	5.192889
9	7	Ġstates	15.549177
9	8	Ġlot	15.010869
9	9	ter	0.266647
9	10	ies	0.010304
9	11	Ġcasinos	10.902337
9	12	.	3.660633
9	13	Ġgambling	5.585152
9	14	Ġbusiness	9.148488
9	15	.	2.838110
10	1	<|endoftext|>	0.000000
10	2	Ġwind	21.828445
10	3	Ġhurricane	16.196671
10	4	Ġhouse	15.593033
10	5	Ġwindow	12.961556
10	6	Ġkitchen	16.080664
10	7	.	5.712433
10	8	Ġwe	11.149763
10	9	Ġfood	17.477891
10	10	Ġdoor	12.727829
10	11	Ġkitchen	4.898860
10	12	Ġhurricane	14.533880
10	13	.	6.545446
10	14	Ġi	7.127352
10	15	Ġour	13.577477
10	16	Ġhouse	4.208312
