sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.000000
1	2	Ġbee	23.629046
1	3	keeping	4.228593
1	4	Ġencourages	14.358519
1	5	Ġconservation	6.613790
1	6	Ġhabitats	13.632045
1	7	.	3.007150
1	8	Ġit	14.130910
1	9	Ġbee	12.556574
1	10	keeper	2.695623
1	11	Ġinterest	13.743390
1	12	Ġconserve	19.151688
1	13	Ġplants	8.030627
1	14	Ġproduce	12.919681
1	15	Ġpollen	7.452041
1	16	.	4.004161
1	17	Ġform	14.215448
1	18	Ġagriculture	9.998056
1	19	Ġit	9.708975
1	20	Ġrequire	10.435600
1	21	Ġvegetation	11.683662
1	22	Ġcleared	14.696348
1	23	Ġmake	12.538537
1	24	Ġway	7.596409
1	25	Ġcrops	8.888697
1	26	.	4.596893
1	27	Ġbee	5.065652
1	28	keepers	2.966112
1	29	Ġdiscourage	9.988872
1	30	Ġuse	5.864120
1	31	Ġpesticides	7.988598
1	32	Ġcrops	12.639570
1	33	Ġthey	8.316609
1	34	Ġkill	7.680985
1	35	Ġhoney	8.220682
1	36	bees	2.448053
1	37	.	2.064584
2	1	<|endoftext|>	0.000000
2	2	Ġbee	23.629046
2	3	keepers	2.784698
2	4	Ġgo	9.998610
2	5	Ġextremes	21.775402
2	6	Ġtheir	12.011698
2	7	Ġcraft	8.932936
2	8	Ġtheir	13.262749
2	9	Ġproduct	8.323929
2	10	Ġis	4.683694
2	11	Ġeffort	14.369078
2	12	.	5.622412
2	13	Ġhoney	12.845816
2	14	Ġmaking	12.185704
2	15	Ġemphasizes	16.123078
2	16	Ġquality	6.406723
2	17	Ġcharacter	15.426216
2	18	Ġquantity	17.851029
2	19	Ġconsistency	13.062326
2	20	.	2.180151
2	21	Ġproduce	12.400599
2	22	Ġhoney	7.196296
2	23	Ġbee	8.234320
2	24	keepers	6.242007
2	25	Ġbecome	7.816803
2	26	Ġmic	16.574715
2	27	roman	1.319007
2	28	agers	0.311174
2	29	Ġtheir	8.675766
2	30	Ġhoney	5.542632
2	31	bees	8.261793
2	32	.	6.711911
2	33	Ġthey	5.230136
2	34	Ġscout	14.870096
2	35	Ġfields	8.055832
2	36	Ġknow	14.128160
2	37	Ġn	12.229938
2	38	ectar	1.093110
2	39	Ġflows	7.112293
2	40	Ġselect	13.818655
2	41	Ġways	10.751571
2	42	Ġextract	11.161079
2	43	Ġhoney	2.815921
2	44	.	2.965079
3	1	<|endoftext|>	0.000000
3	2	Ġbee	23.629046
3	3	keeper	2.391164
3	4	Ġopens	13.533905
3	5	Ġhum	16.370119
3	6	Ġbees	17.851245
3	7	Ġfills	17.812981
3	8	Ġair	7.742984
3	9	.	5.399673
3	10	Ġbee	8.631510
3	11	keeper	0.575453
3	12	Ġchecks	7.702944
3	13	Ġhoney	7.085612
3	14	Ġstores	12.440322
3	15	Ġpollen	12.502872
3	16	Ġsupplies	9.679966
3	17	Ġbee	5.052570
3	18	Ġnursery	15.905152
3	19	.	6.066857
3	20	Ġbees	3.678516
3	21	Ġcrawl	9.754222
3	22	Ġhis	12.129353
3	23	Ġarms	9.765629
3	24	Ġhands	12.463453
3	25	Ġthey	13.048555
3	26	Ġsting	8.424649
3	27	Ġthey	10.119283
3	28	Ġ'	11.626778
3	29	re	7.439919
3	30	.	8.670329
4	1	<|endoftext|>	0.000000
4	2	Ġi	15.053864
4	3	Ġhave	6.282401
4	4	Ġrecurring	16.307832
4	5	Ġdream	8.831916
4	6	Ġexams	16.285887
4	7	Ġi	5.915815
4	8	Ġ'	15.904493
4	9	m	4.287419
4	10	Ġcollege	10.248648
4	11	.	7.132458
4	12	Ġmy	4.785833
4	13	Ġdream	3.749031
4	14	Ġit	11.716271
4	15	Ġday	13.210166
4	16	Ġmy	8.793901
4	17	Ġexam	5.721572
4	18	Ġi	4.010808
4	19	Ġrealize	10.454314
4	20	Ġi	1.488062
4	21	Ġgone	14.433999
4	22	Ġclass	13.323536
4	23	.	4.214284
4	24	Ġi	1.273497
4	25	Ġdone	12.603293
4	26	Ġreading	8.714397
4	27	Ġassignments	10.613437
4	28	.	1.936637
4	29	Ġi	0.736954
4	30	Ġknow	7.890419
4	31	Ġpeople	9.033528
4	32	Ġwho	2.867585
4	33	Ġhave	2.903435
4	34	Ġnightmare	12.082436
4	35	.	4.289105
5	1	<|endoftext|>	0.000000
5	2	Ġmorning	21.004965
5	3	Ġparticipants	17.012053
5	4	Ġstudy	12.902206
5	5	Ġhad	14.157052
5	6	Ġwrite	16.889075
5	7	Ġtheir	6.950805
5	8	Ġdream	11.209167
5	9	Ġexperience	9.694065
5	10	Ġnight	13.614729
5	11	.	4.709824
5	12	Ġthey	7.745692
5	13	Ġrecorded	8.123791
5	14	Ġthey	9.101842
5	15	Ġrecalled	10.621587
5	16	Ġdreams	6.706431
5	17	Ġdescribed	11.401917
5	18	Ġdream	12.113901
5	19	Ġits	15.084977
5	20	Ġintensity	10.040706
5	21	.	3.435234
5	22	Ġparticipants	6.036493
5	23	Ġassigned	10.521211
5	24	Ġdream	4.191911
5	25	Ġcategory	9.154681
5	26	Ġflying	16.763507
5	27	Ġdream	7.543059
5	28	Ġdream	7.676221
5	29	Ġnightmare	12.020756
5	30	.	4.461722
6	1	<|endoftext|>	0.000000
6	2	Ġnight	19.485354
6	3	Ġwe	10.261606
6	4	Ġsleep	11.864130
6	5	Ġour	7.885973
6	6	Ġminds	7.327187
6	7	Ġwe	9.356766
6	8	Ġare	4.176135
6	9	.	9.514290
6	10	Ġwe	8.835234
6	11	Ġdream	7.128187
6	12	Ġnight	11.867928
6	13	Ġcycles	14.457814
6	14	Ġminutes	17.222643
6	15	.	4.400508
6	16	Ġimages	13.373965
6	17	Ġfeelings	18.539763
6	18	Ġstories	10.253141
6	19	Ġcombinations	15.495949
6	20	Ġcharacters	9.926973
6	21	Ġplaces	10.718154
6	22	Ġfill	11.525609
6	23	Ġour	4.605793
6	24	Ġdreams	3.641028
6	25	.	2.321458
7	1	<|endoftext|>	0.000000
7	2	Ġi	15.053864
7	3	Ġdecided	11.850720
7	4	Ġstart	14.522946
7	5	Ġplaying	4.582091
7	6	Ġcards	9.370835
7	7	Ġthings	14.501493
7	8	Ġwent	7.057080
7	9	.	9.915072
7	10	Ġgambling	15.098910
7	11	Ġsomething	11.798501
7	12	Ġi	5.546404
7	13	Ġhad	4.979680
7	14	Ġdo	10.994134
7	15	Ġi	6.863481
7	16	Ġspent	7.923687
7	17	Ġdoing	14.780020
7	18	Ġit	2.933560
7	19	.	2.255197
7	20	Ġmy	7.268672
7	21	Ġfriends	4.256270
7	22	Ġwatching	11.727308
7	23	Ġme	2.929495
7	24	Ġgamble	6.425689
7	25	Ġmy	6.309282
7	26	Ġsavings	11.298392
