sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.000000
1	2	Ġbee	23.629046
1	3	keeping	4.228593
1	4	Ġconservation	10.747170
1	5	Ġhabitats	14.792244
2	1	<|endoftext|>	0.000000
2	2	Ġit	12.705676
2	3	Ġbee	17.058545
2	4	keeper	9.687284
2	5	Ġinterest	15.708869
2	6	Ġplants	16.235333
2	7	Ġpollen	14.696095
3	1	<|endoftext|>	0.000000
3	2	Ġform	19.772501
3	3	Ġagriculture	17.632806
3	4	Ġit	11.481442
3	5	Ġvegetation	22.515746
3	6	Ġway	12.440820
3	7	Ġcrops	9.346075
4	1	<|endoftext|>	0.000000
4	2	Ġbee	23.629046
4	3	keepers	2.784698
4	4	Ġuse	6.976955
4	5	Ġpesticides	5.072293
4	6	Ġcrops	17.260532
4	7	Ġthey	7.049441
4	8	Ġhoney	13.489529
4	9	bees	4.623100
5	1	<|endoftext|>	0.000000
5	2	Ġbee	23.629046
5	3	keepers	2.784698
5	4	Ġextremes	23.001456
5	5	Ġtheir	8.880991
5	6	Ġcraft	11.883374
5	7	Ġtheir	14.151939
5	8	Ġproduct	7.485372
5	9	Ġeffort	14.779868
6	1	<|endoftext|>	0.000000
6	2	Ġhoney	22.457307
6	3	Ġmaking	11.195999
6	4	Ġquality	12.398470
6	5	Ġcharacter	16.520852
6	6	Ġquantity	15.938009
6	7	Ġconsistency	13.671740
7	1	<|endoftext|>	0.000000
7	2	Ġhoney	22.457307
7	3	Ġbee	6.905624
7	4	keepers	6.520209
7	5	Ġmic	19.434491
7	6	roman	0.651158
7	7	agers	7.516716
7	8	Ġtheir	10.240155
7	9	Ġhoney	3.641958
7	10	bees	3.606470
8	1	<|endoftext|>	0.000000
8	2	Ġthey	14.491269
8	3	Ġfields	19.065251
8	4	Ġn	11.897996
8	5	ectar	8.080896
8	6	Ġways	16.683665
8	7	Ġhoney	11.066576
9	1	<|endoftext|>	0.000000
9	2	Ġbee	23.629046
9	3	keeper	2.391164
9	4	Ġhum	16.552225
9	5	Ġbees	16.344662
9	6	Ġair	13.626693
10	1	<|endoftext|>	0.000000
10	2	Ġbee	23.629046
10	3	keeper	2.391164
10	4	Ġhoney	11.246200
10	5	Ġstores	14.079009
10	6	Ġpollen	19.787784
10	7	Ġsupplies	9.912909
10	8	Ġbee	12.233803
10	9	Ġnursery	14.247599
11	1	<|endoftext|>	0.000000
11	2	Ġbees	22.854629
11	3	Ġcrawl	15.336938
11	4	Ġhis	11.085049
11	5	Ġarms	7.966060
11	6	Ġhands	14.607843
11	7	Ġthey	15.183333
11	8	Ġthey	11.917684
12	1	<|endoftext|>	0.000000
12	2	Ġi	15.053864
12	3	Ġdream	15.555562
12	4	Ġexams	21.252577
12	5	Ġi	5.146238
12	6	Ġcollege	15.291489
13	1	<|endoftext|>	0.000000
13	2	Ġmy	15.381958
13	3	Ġdream	10.361329
13	4	Ġit	10.971258
13	5	Ġday	13.716633
13	6	Ġmy	7.211117
13	7	Ġexam	15.496622
13	8	Ġi	5.881167
13	9	Ġi	10.489671
13	10	Ġclass	10.730495
14	1	<|endoftext|>	0.000000
14	2	Ġi	15.053864
14	3	Ġreading	17.598012
14	4	Ġassignments	17.756441
15	1	<|endoftext|>	0.000000
15	2	Ġi	15.053864
15	3	Ġpeople	16.048913
15	4	Ġwho	3.322208
15	5	Ġnightmare	21.915145
16	1	<|endoftext|>	0.000000
16	2	Ġmorning	21.004965
16	3	Ġparticipants	17.012053
16	4	Ġstudy	12.902206
16	5	Ġtheir	4.689013
16	6	Ġdream	12.353851
16	7	Ġexperience	9.470628
16	8	Ġnight	12.244272
17	1	<|endoftext|>	0.000000
17	2	Ġthey	14.491269
17	3	Ġthey	12.536140
17	4	Ġdreams	16.885537
17	5	Ġdream	13.394737
17	6	Ġits	12.353533
17	7	Ġintensity	15.499261
18	1	<|endoftext|>	0.000000
18	2	Ġparticipants	20.043590
18	3	Ġdream	15.284760
18	4	Ġcategory	19.122838
18	5	Ġflying	15.439659
18	6	Ġdream	8.886165
18	7	Ġdream	10.014115
18	8	Ġnightmare	14.622082
19	1	<|endoftext|>	0.000000
19	2	Ġnight	19.485354
19	3	Ġwe	10.261606
19	4	Ġour	15.386422
19	5	Ġminds	13.098472
19	6	Ġwe	8.999378
20	1	<|endoftext|>	0.000000
20	2	Ġwe	14.102880
20	3	Ġnight	18.631010
20	4	Ġcycles	14.253471
20	5	Ġminutes	16.258584
21	1	<|endoftext|>	0.000000
21	2	Ġimages	19.191228
21	3	Ġfeelings	21.364455
21	4	Ġstories	11.623885
21	5	Ġcombinations	16.674654
21	6	Ġcharacters	9.069956
21	7	Ġplaces	10.519576
21	8	Ġour	12.903858
21	9	Ġdreams	9.094931
22	1	<|endoftext|>	0.000000
22	2	Ġi	15.053864
22	3	Ġcards	17.310787
22	4	Ġthings	13.126142
23	1	<|endoftext|>	0.000000
23	2	Ġgambling	23.226673
23	3	Ġsomething	15.881318
23	4	Ġi	12.911615
23	5	Ġi	13.046787
23	6	Ġit	9.345442
24	1	<|endoftext|>	0.000000
24	2	Ġmy	15.381958
24	3	Ġfriends	7.895835
24	4	Ġme	11.931826
24	5	Ġmy	7.007009
24	6	Ġsavings	14.331195
25	1	<|endoftext|>	0.000000
25	2	Ġpart	17.353710
25	3	Ġhorror	18.945811
25	4	Ġcasino	16.978335
25	5	Ġmoney	12.892019
25	6	Ġi	10.865187
26	1	<|endoftext|>	0.000000
26	2	Ġdata	16.337449
26	3	Ġeffects	15.910354
26	4	Ġgambling	16.831328
27	1	<|endoftext|>	0.000000
27	2	Ġstudies	19.556860
27	3	Ġcasino	18.693898
27	4	Ġgambling	3.286851
27	5	Ġproblems	8.597922
28	1	<|endoftext|>	0.000000
28	2	Ġgambling	23.226673
28	3	Ġbankrupt	15.958565
28	4	cies	1.783801
28	5	Ġmarriage	18.414985
28	6	Ġproblems	9.526012
29	1	<|endoftext|>	0.000000
29	2	Ġgeneration	21.746950
29	3	Ġthere	12.897705
29	4	Ġexpansion	20.551777
29	5	Ġgambling	16.330999
30	1	<|endoftext|>	0.000000
30	2	Ġstates	19.391685
30	3	Ġlot	18.640662
30	4	ter	3.787119
30	5	ies	0.014800
30	6	Ġcasinos	19.373463
31	1	<|endoftext|>	0.000000
31	2	Ġgambling	23.226673
31	3	Ġbusiness	9.661093
32	1	<|endoftext|>	0.000000
32	2	Ġwind	21.828445
32	3	Ġhurricane	16.196671
32	4	Ġhouse	15.593033
32	5	Ġwindow	12.961556
32	6	Ġkitchen	16.080675
33	1	<|endoftext|>	0.000000
33	2	Ġwe	14.102880
33	3	Ġfood	17.095945
33	4	Ġdoor	16.550556
33	5	Ġkitchen	11.807066
33	6	Ġhurricane	19.289071
