stimulus_id,condition,stimulus,pPMI_lag2
243sentences.0,within_sent_random_lowPMI,habitats conservation encourages the beekeeping of local,19.94591747834939
243sentences.1,within_sent_random_lowPMI,to produce interest it plants every pollen is local conserve in that beekeeper's,27.95866487848439
243sentences.2,within_sent_random_lowPMI,that crops agriculture a of for form not way to vegetation native cleared make does as require be passive it,55.24703034415582
243sentences.3,within_sent_random_lowPMI,kill also beekeepers the discourage of use crops the on they pesticides could honeybees because,46.63466509905033
243sentences.4,within_sent_random_lowPMI,product is go for artisanal but the to craft beekeepers extremes effort their their worth,29.738900292089482
243sentences.5,within_sent_random_lowPMI,artisanal and and over honey-making quality emphasizes quantity character consistency,20.547532862618674
243sentences.6,within_sent_random_lowPMI,micromanagers become produce of honey to finest the their honeybees beekeepers,28.43917926836723
243sentences.7,within_sent_random_lowPMI,select the best extract and flows to when scout ways know honey nectar fields they the,34.85894762051781
243sentences.8,within_sent_random_lowPMI,hive fills as of the 40000 the beekeeper opens air bees deep the the hum,50.79325466515003
243sentences.9,within_sent_random_lowPMI,pollen honey nursery supplies beekeeper bee and checks the stores the,25.267100038834595
243sentences.10,within_sent_random_lowPMI,and across they're arms sting hands they but because bees don't bare his crawl gentle,32.82428434908743
243sentences.11,within_sent_random_lowPMI,i'm no about college have longer dream though recurring i exams in a even,23.863469525826716
243sentences.12,within_sent_random_lowPMI,my exam realize dream the my i've never suddenly and class to it's gone day i of in final,27.70106817388483
243sentences.13,within_sent_random_lowPMI,reading even assignments i've the never done any of,18.027893699532267
243sentences.14,within_sent_random_lowPMI,have people nightmare same other know who i the many,16.760817575296695
243sentences.15,within_sent_random_lowPMI,experience morning had study write the to dream night from in each participants the their down previous,48.3700012171883
243sentences.16,within_sent_random_lowPMI,dreams recalled intensity if each recorded and any and they described dream emotional its they,20.223499465584734
243sentences.17,within_sent_random_lowPMI,participants bad each then assigned a a or to flying such category nightmare dream dream a dream as a,64.52511041870886
243sentences.18,within_sent_random_lowPMI,when sleep are as night our are while every awake we minds as we active,40.976210517858775
243sentences.19,within_sent_random_lowPMI,ninety the we cycles in of about night throughout minutes each dream,17.95943942222284
243sentences.20,within_sent_random_lowPMI,can fill our strange of and and combinations dreams places stories feelings characters images,28.084927680550127
243sentences.21,within_sent_random_lowPMI,things when decided cards bad start to to i playing from worse went,21.533688329123642
243sentences.22,within_sent_random_lowPMI,i had doing and do had $10000 spent already i it to close to gambling was something,37.03281033829952
243sentences.23,within_sent_random_lowPMI,me my friends were away sick of gamble savings watching my,30.70727435236061
243sentences.24,within_sent_random_lowPMI,was after a the money not part leaving have i did the losing hardest of casino horror,32.292404623940584
243sentences.25,within_sent_random_lowPMI,on to economic legalized data by come the effects are and social good hard gambling of,38.01103643507562
243sentences.26,within_sent_random_lowPMI,a indicate problems likely gambling casino some studies more makes that nearby having,38.18353041812151
243sentences.27,within_sent_random_lowPMI,also gambling marriage and associated personal with may be problems bankruptcies,28.924339712263798
243sentences.28,within_sent_random_lowPMI,the expansion been generation of past over dramatic gambling has a there legalized,32.08470483966492
243sentences.29,within_sent_random_lowPMI,casinos states and instituted lotteries have well have many most as,34.57596353592102
243sentences.30,within_sent_random_lowPMI,business become controversial very but gambling has big,21.3986567811865
243sentences.31,within_sent_random_lowPMI,a wind in house kitchen from the shattering the hurricane the the shook window,47.246401104213255
243sentences.32,within_sent_random_lowPMI,ran door surrendered some hurricane the grabbed the slammed food to we and kitchen in the,35.30098862645208
243sentences.33,within_sent_random_lowPMI,house ripped be afraid its our foundation i from was would,16.43200953006344
243sentences.34,within_sent_random_lowPMI,fell night later with that shaking the the huddled the we house asleep sofa wind on,37.577030757880564
243sentences.35,within_sent_random_lowPMI,can off off and their foundations houses trees suck of hurricanes limbs tear,29.75751435960033
243sentences.36,within_sent_random_lowPMI,dump rains mudslides floods they trigger that and heavy can,22.02116951223486
243sentences.37,within_sent_random_lowPMI,a water that a bring ocean surge of can hurricanes storm onto also land wall lurches,32.098259596063286
243sentences.38,within_sent_random_lowPMI,several evidence scientists methods to hurricanes use for look of ancient,28.837537906527356
243sentences.39,within_sent_random_lowPMI,the strongest coastal at of windblown the of lakes deposited beach sand layers storms bottoms,67.01052451671971
243sentences.40,within_sent_random_lowPMI,by drenched record growth hurricanes preserve storm their rings trees of a passing in each,33.95279945369451
243sentences.41,within_sent_random_lowPMI,is world different different american the exported ice preferences countries have cream around but,28.17274098130309
243sentences.42,within_sent_random_lowPMI,ice enjoy people many cream delicacies local their flavored with,45.922322141426136
243sentences.43,within_sent_random_lowPMI,tropical fresh cream topped and mangos vanilla some is places ice bananas with in,49.76628421269631
243sentences.44,within_sent_random_lowPMI,making at cream i a as ice remember child home,11.701587434630198
243sentences.45,within_sent_random_lowPMI,tub it cream start a then the we the cold the into turning to mixture crank frozen expose to poured,62.25700573119544
243sentences.46,within_sent_random_lowPMI,eventually i couldn't the hand enough turn more it froze crank that any,14.316815475239649
243sentences.47,within_sent_random_lowPMI,the harden cream put of into half-frozen then the freezer to i ice container,32.69716155383294
243sentences.48,within_sent_random_lowPMI,half flavorings and is cream to milk mixture ice up or sugar cream air whipped-in a of,52.09570405803301
243sentences.49,within_sent_random_lowPMI,what the butterfat smooth cream is and and in it makes silky milk,36.06873395526974
243sentences.50,within_sent_random_lowPMI,cream premium is natural high-priced ice butterfat and loaded flavorings with,44.8201594892946
243sentences.51,within_sent_random_lowPMI,chair use mower my the hurt i uncomfortable lawn makes the when back riding,31.937107108116503
243sentences.52,within_sent_random_lowPMI,use control i two front machine the to me the levers of in,27.203221259507426
243sentences.53,within_sent_random_lowPMI,grass sharp sever underneath of the mower the blade each lawn blades precisely,44.26275140689957
243sentences.54,within_sent_random_lowPMI,long task a taught patience mowing and has is me the lawn it,25.713955097400827
243sentences.55,within_sent_random_lowPMI,cut grass that a a an mower machine to is height even lawn revolving blades with,43.26008878903277
243sentences.56,within_sent_random_lowPMI,motor muscle or have the machine blades by the may a may powered be,39.45632099678944
243sentences.57,within_sent_random_lowPMI,the mowers is small source power for engine most common lawn a gas,39.25990372033738
243sentences.58,within_sent_random_lowPMI,the for they create not emissions because environment do electric lawnmowers are better,24.58651099940846
243sentences.59,within_sent_random_lowPMI,and they less less to also expensive maintenance run are need,24.693695820192872
243sentences.60,within_sent_random_lowPMI,an as lawn toaster use electric as mowers much electricity ordinary,41.84030304044187
243sentences.61,within_sent_random_lowPMI,for long astronauts a their spacewalks time train,19.8713557007735
243sentences.62,within_sent_random_lowPMI,much underwater conducted their of training is,17.185917822130698
243sentences.63,within_sent_random_lowPMI,10 every to floating pool hour will in in may they they the space 8 hours for spend spend,44.899122689859645
243sentences.64,within_sent_random_lowPMI,outside able on perform practice repair the and the construction to work space astronauts be station to of,54.748647382087185
243sentences.65,within_sent_random_lowPMI,test many flights commanders always and pilots as of are the military backgrounds shuttle have pilots,52.55192252503552
243sentences.66,within_sent_random_lowPMI,engineers run astronauts doctors in experiments as and who are scientists can other trained space,40.977944777483074
243sentences.67,within_sent_random_lowPMI,diverse were men now early crews much but more young all astronauts are,28.76112401750848
243sentences.68,within_sent_random_lowPMI,exterior shuttle the floated the to out astronauts together of team the of space,48.01262277994914
243sentences.69,within_sent_random_lowPMI,telescope on part they broken repair to the the needed carried tools huge,29.68626125411515
243sentences.70,within_sent_random_lowPMI,bolts the while the the part the loosened astronaut other place fitted one on replacement pipe into,39.537329153056824
243sentences.71,within_sent_random_lowPMI,by in used long computers a been experimental for art have time artists,33.86550810531555
243sentences.72,within_sent_random_lowPMI,and art entered widespread affordable the are have mainstream computers world computer now more that graphics,37.55457735723668
243sentences.73,within_sent_random_lowPMI,some technology science have showcase computer graphics the exhibitions that art conferences latest,48.31950979717646
243sentences.74,within_sent_random_lowPMI,have cultures to two up are that conferences new bridging sprung devoted the brand,26.634171091786804
243sentences.75,within_sent_random_lowPMI,graphics procedures doctors works visualize computer conditions to medical and the surgical specialist with,43.643602682312405
243sentences.76,within_sent_random_lowPMI,structures uses animation to doctors a patient's body she understand help within digital,10.70082289100301
243sentences.77,within_sent_random_lowPMI,an at screen structures is in much than internal a x-rays on seeing animation clearer the squinting,32.025999119386
