sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.000000
1	2	Ġbee	23.629046
1	3	keeping	4.228593
1	4	Ġencourages	14.358519
1	5	Ġthe	2.697638
1	6	Ġconservation	6.256491
1	7	Ġof	0.198918
1	8	Ġlocal	6.894665
1	9	Ġhabitats	4.182471
1	10	.	2.526864
1	11	Ġit	14.600189
1	12	Ġis	1.702455
1	13	Ġin	6.870192
1	14	Ġevery	8.397111
1	15	Ġbee	4.958197
1	16	keeper	0.545384
1	17	's	0.024190
1	18	Ġinterest	0.401429
1	19	Ġto	0.292653
1	20	Ġconserve	4.701908
1	21	Ġlocal	3.905729
1	22	Ġplants	6.554962
1	23	Ġthat	5.634440
1	24	Ġproduce	7.476086
1	25	Ġpollen	6.111873
1	26	.	2.741802
1	27	Ġas	8.866072
1	28	Ġa	2.567840
1	29	Ġpassive	13.286104
1	30	Ġform	7.835949
1	31	Ġof	0.197224
1	32	Ġagriculture	7.434871
1	33	Ġit	4.969203
1	34	Ġdoes	5.748863
1	35	Ġnot	0.302269
1	36	Ġrequire	3.949134
1	37	Ġthat	5.479972
1	38	Ġnative	10.151932
1	39	Ġvegetation	7.546736
1	40	Ġbe	0.572432
1	41	Ġcleared	6.489809
1	42	Ġto	3.823035
1	43	Ġmake	4.046950
1	44	Ġway	1.472742
1	45	Ġfor	0.012545
1	46	Ġcrops	6.637278
1	47	.	1.439277
1	48	Ġbee	3.258606
1	49	keepers	1.038517
1	50	Ġalso	4.345297
1	51	Ġdiscourage	7.504562
1	52	Ġthe	2.071500
1	53	Ġuse	2.135653
1	54	Ġof	0.013301
1	55	Ġpesticides	1.000880
1	56	Ġon	4.594835
1	57	Ġcrops	4.126237
1	58	Ġbecause	5.863625
1	59	Ġthey	1.442689
1	60	Ġcould	6.521705
1	61	Ġkill	5.805210
1	62	Ġthe	2.592083
1	63	Ġhoney	6.597658
1	64	bees	2.391222
1	65	.	1.944226
2	1	<|endoftext|>	0.000000
2	2	Ġartisan	23.575894
2	3	al	1.521426
2	4	Ġbee	12.872732
2	5	keepers	3.405492
2	6	Ġgo	10.195912
2	7	Ġto	2.547787
2	8	Ġextremes	6.990566
2	9	Ġfor	4.646216
2	10	Ġtheir	2.130311
2	11	Ġcraft	7.853161
2	12	Ġbut	8.690073
2	13	Ġtheir	5.085671
2	14	Ġproduct	9.161217
2	15	Ġis	1.248885
2	16	Ġworth	5.981006
2	17	Ġthe	2.150577
2	18	Ġeffort	1.710713
2	19	.	0.757007
2	20	Ġartisan	17.558086
2	21	al	0.079144
2	22	Ġhoney	4.615470
2	23	-	9.173339
2	24	making	3.408246
2	25	Ġemphasizes	15.151761
2	26	Ġquality	6.110751
2	27	Ġand	2.179565
2	28	Ġcharacter	8.497116
2	29	Ġover	3.936381
2	30	Ġquantity	0.866760
2	31	Ġand	2.540294
2	32	Ġconsistency	8.068888
2	33	.	0.539492
2	34	Ġto	12.853414
2	35	Ġproduce	6.189714
2	36	Ġthe	4.747283
2	37	Ġfinest	4.301442
2	38	Ġhoney	1.384941
2	39	Ġbee	5.031842
2	40	keepers	8.513990
2	41	Ġbecome	10.710733
2	42	Ġmic	18.064389
2	43	roman	2.533837
2	44	agers	0.750254
2	45	Ġof	3.325895
2	46	Ġtheir	1.939483
2	47	Ġhoney	3.269507
2	48	bees	6.205904
2	49	.	1.334706
2	50	Ġthey	5.396166
2	51	Ġscout	14.907481
2	52	Ġthe	2.876427
2	53	Ġfields	5.456882
2	54	Ġknow	17.014736
2	55	Ġwhen	6.508888
2	56	Ġn	13.109376
2	57	ectar	0.036535
2	58	Ġflows	4.532230
2	59	Ġand	2.118741
2	60	Ġselect	10.176044
2	61	Ġthe	1.107893
2	62	Ġbest	1.119119
2	63	Ġways	8.068704
2	64	Ġto	0.153069
2	65	Ġextract	5.046279
2	66	Ġhoney	3.116131
2	67	.	1.616877
3	1	<|endoftext|>	0.000000
3	2	Ġas	12.635122
3	3	Ġthe	5.135089
3	4	Ġbee	14.248040
3	5	keeper	2.634290
3	6	Ġopens	10.863023
3	7	Ġthe	3.013080
3	8	Ġhive	3.599761
3	9	Ġthe	9.612955
3	10	Ġdeep	12.667306
3	11	Ġhum	12.776764
3	12	Ġof	0.635728
3	13	Ġ4	13.168764
3	14	0000	12.041938
3	15	Ġbees	1.047950
3	16	Ġfills	7.310987
3	17	Ġthe	0.536461
3	18	Ġair	2.178820
3	19	.	2.417282
3	20	Ġthe	4.900504
3	21	Ġbee	3.989504
3	22	keeper	1.019902
3	23	Ġchecks	8.318907
3	24	Ġhoney	13.064134
3	25	Ġstores	11.508866
3	26	Ġpollen	16.442758
3	27	Ġsupplies	10.135917
3	28	Ġand	2.195939
3	29	Ġthe	4.148264
3	30	Ġbee	3.147804
3	31	Ġnursery	14.079269
3	32	.	4.999014
3	33	Ġbees	6.031483
3	34	Ġcrawl	9.682493
3	35	Ġacross	5.459651
3	36	Ġhis	9.119278
3	37	Ġbare	8.146213
3	38	Ġarms	7.243981
3	39	Ġand	2.061262
3	40	Ġhands	5.855125
3	41	Ġbut	7.383489
3	42	Ġthey	4.085113
3	43	Ġdon	4.146729
3	44	't	0.001645
3	45	Ġsting	7.453094
3	46	Ġbecause	6.391479
3	47	Ġthey	1.805411
3	48	're	2.783710
3	49	Ġgentle	10.590449
3	50	.	1.507785
4	1	<|endoftext|>	0.000000
4	2	Ġi	15.053864
4	3	Ġhave	6.282401
4	4	Ġa	2.965093
4	5	Ġrecurring	13.140061
4	6	Ġdream	5.174275
4	7	Ġabout	3.863523
4	8	Ġexams	15.776332
4	9	Ġeven	11.355497
4	10	Ġthough	0.721009
4	11	Ġi	1.630377
4	12	'm	4.808400
4	13	Ġno	7.007380
4	14	Ġlonger	1.568788
4	15	Ġin	3.305832
4	16	Ġcollege	3.577979
4	17	.	1.295535
4	18	Ġin	7.477310
4	19	Ġmy	2.688398
4	20	Ġdream	3.140644
4	21	Ġit	4.787069
4	22	's	2.295946
4	23	Ġthe	4.825357
4	24	Ġday	4.378095
4	25	Ġof	3.819107
4	26	Ġmy	3.255878
4	27	Ġfinal	5.926798
4	28	Ġexam	1.077365
4	29	Ġand	2.598568
4	30	Ġi	1.100856
4	31	Ġsuddenly	8.915645
4	32	Ġrealize	3.340707
4	33	Ġi	1.770069
4	34	've	4.251799
4	35	Ġnever	3.024863
4	36	Ġgone	7.933844
4	37	Ġto	1.291792
4	38	Ġclass	3.605489
4	39	.	2.463988
4	40	Ġi	1.478120
4	41	've	5.757437
4	42	Ġnever	2.219848
4	43	Ġeven	2.962283
4	44	Ġdone	5.149444
4	45	Ġany	3.908584
4	46	Ġof	2.516353
4	47	Ġthe	0.982353
4	48	Ġreading	8.598963
