sentence_id	token_id	token	surprisal
1	1	<|endoftext|>	0.000000
1	2	Ġbee	23.629046
1	3	keeping	4.228593
1	4	Ġencourages	14.358519
1	5	Ġconservation	6.613790
1	6	Ġlocal	15.755010
1	7	Ġhabitats	10.284498
1	8	.	3.095306
1	9	Ġit	13.388317
1	10	Ġbee	12.246392
1	11	keeper	2.646265
1	12	Ġinterest	13.493965
1	13	Ġconserve	18.535855
1	14	Ġlocal	3.088357
1	15	Ġplants	6.898591
1	16	Ġproduce	11.727619
1	17	Ġpollen	8.721233
1	18	.	4.364999
1	19	Ġpassive	15.733540
1	20	Ġform	11.090138
1	21	Ġagriculture	11.325111
1	22	Ġit	10.585099
1	23	Ġrequire	9.869454
1	24	Ġnative	8.539415
1	25	Ġvegetation	5.515662
1	26	Ġcleared	15.523190
1	27	Ġmake	14.730014
1	28	Ġway	7.870646
1	29	Ġcrops	11.529882
1	30	.	4.471579
1	31	Ġbee	5.281256
1	32	keepers	2.984559
1	33	Ġalso	6.897379
1	34	Ġdiscourage	8.457472
1	35	Ġuse	5.767672
1	36	Ġpesticides	8.561444
1	37	Ġcrops	13.212186
1	38	Ġthey	7.991767
1	39	Ġkill	7.826907
1	40	Ġhoney	8.343015
1	41	bees	2.260725
1	42	.	2.175462
2	1	<|endoftext|>	0.000000
2	2	Ġartisan	23.575894
2	3	al	1.521426
2	4	Ġbee	12.872732
2	5	keepers	3.405492
2	6	Ġgo	10.195912
2	7	Ġextremes	20.779621
2	8	Ġtheir	12.011515
2	9	Ġcraft	6.266652
2	10	Ġtheir	13.063656
2	11	Ġproduct	7.727499
2	12	Ġis	4.808685
2	13	Ġworth	9.079877
2	14	Ġeffort	13.638521
2	15	.	2.512693
2	16	Ġartisan	15.442633
2	17	al	0.079897
2	18	Ġhoney	5.738058
2	19	Ġmaking	11.103197
2	20	Ġemphasizes	15.452530
2	21	Ġquality	5.701770
2	22	Ġcharacter	15.252460
2	23	Ġquantity	18.656290
2	24	Ġconsistency	12.322265
2	25	.	2.644453
2	26	Ġproduce	12.200203
2	27	Ġfinest	13.712089
2	28	Ġhoney	3.002954
2	29	Ġbee	6.712263
2	30	keepers	8.198560
2	31	Ġbecome	10.000211
2	32	Ġmic	16.361246
2	33	roman	2.724993
2	34	agers	0.641546
2	35	Ġtheir	8.884117
2	36	Ġhoney	4.117724
2	37	bees	7.911543
2	38	.	7.837666
2	39	Ġthey	6.209457
2	40	Ġscout	15.191193
2	41	Ġfields	8.458895
2	42	Ġknow	13.833689
2	43	Ġwhen	6.167145
2	44	Ġn	12.532853
2	45	ectar	0.065141
2	46	Ġflows	5.057009
2	47	Ġselect	13.726447
2	48	Ġbest	4.654977
2	49	Ġways	7.696327
2	50	Ġextract	13.196197
2	51	Ġhoney	2.383340
2	52	.	2.391764
3	1	<|endoftext|>	0.000000
3	2	Ġbee	23.629046
3	3	keeper	2.391164
3	4	Ġopens	13.533905
3	5	Ġhive	9.533168
3	6	Ġdeep	14.877760
3	7	Ġhum	17.443880
3	8	Ġbees	15.748570
3	9	Ġfills	17.134788
3	10	Ġair	7.723003
3	11	.	5.727522
3	12	Ġbee	8.859035
3	13	keeper	0.471487
3	14	Ġchecks	8.001833
3	15	Ġhoney	7.479016
3	16	Ġstores	12.193753
3	17	Ġpollen	12.449065
3	18	Ġsupplies	9.592483
3	19	Ġbee	4.576536
3	20	Ġnursery	15.744024
3	21	.	6.873809
3	22	Ġbees	3.495492
3	23	Ġcrawl	9.281009
3	24	Ġhis	12.261771
3	25	Ġbare	11.370996
3	26	Ġarms	7.147164
3	27	Ġhands	12.326460
3	28	Ġthey	11.316598
3	29	Ġsting	8.312939
3	30	Ġthey	9.876089
3	31	Ġ'	11.595314
3	32	re	7.312909
3	33	Ġgentle	14.212163
3	34	.	2.692113
4	1	<|endoftext|>	0.000000
4	2	Ġi	15.053864
4	3	Ġhave	6.282401
4	4	Ġrecurring	16.307832
4	5	Ġdream	8.831916
4	6	Ġexams	16.285887
4	7	Ġeven	11.231900
4	8	Ġi	7.731752
4	9	Ġ'	15.537268
4	10	m	5.420250
4	11	Ġno	8.368371
4	12	Ġlonger	1.416487
4	13	Ġcollege	10.468481
4	14	.	4.631265
4	15	Ġmy	4.929617
4	16	Ġdream	3.958529
4	17	Ġit	11.807206
4	18	Ġday	13.527635
4	19	Ġmy	9.080676
4	20	Ġfinal	9.108189
4	21	Ġexam	1.237599
4	22	Ġi	3.652270
4	23	Ġsuddenly	10.331055
4	24	Ġrealize	4.893852
4	25	Ġi	1.477347
4	26	Ġnever	6.263874
4	27	Ġgone	12.816974
4	28	Ġclass	13.327398
4	29	.	3.239236
4	30	Ġi	1.355376
4	31	Ġnever	6.512550
4	32	Ġeven	5.076801
4	33	Ġdone	8.431405
4	34	Ġreading	9.004483
4	35	Ġassignments	11.894301
4	36	.	1.327320
4	37	Ġi	1.061591
4	38	Ġknow	7.261913
4	39	Ġmany	9.238642
4	40	Ġother	4.378460
4	41	Ġpeople	2.091727
4	42	Ġwho	1.646943
4	43	Ġhave	2.025238
4	44	Ġsame	7.544777
4	45	Ġnightmare	7.186813
4	46	.	1.892007
5	1	<|endoftext|>	0.000000
5	2	Ġmorning	21.004965
5	3	Ġparticipants	17.012053
5	4	Ġstudy	12.902206
5	5	Ġhad	14.157052
5	6	Ġwrite	16.889075
5	7	Ġtheir	6.950805
5	8	Ġdream	11.209167
5	9	Ġexperience	9.694065
5	10	Ġprevious	16.071169
5	11	Ġnight	6.236689
5	12	.	1.921570
5	13	Ġthey	8.262995
5	14	Ġrecorded	7.956501
5	15	Ġthey	9.276239
5	16	Ġrecalled	10.341618
5	17	Ġdreams	7.363200
5	18	Ġdescribed	11.601135
5	19	Ġdream	12.846998
5	20	Ġits	15.099096
5	21	Ġemotional	11.405378
5	22	Ġintensity	7.080418
5	23	.	2.512996
5	24	Ġparticipants	5.278463
5	25	Ġthen	5.528452
5	26	Ġassigned	9.605891
5	27	Ġdream	5.085003
5	28	Ġcategory	8.806689
5	29	Ġsuch	10.445633
5	30	Ġflying	16.837229
5	31	Ġdream	6.384249
5	32	Ġbad	11.722965
5	33	Ġdream	1.558062
5	34	Ġnightmare	9.949226
5	35	.	5.137900
6	1	<|endoftext|>	0.000000
6	2	Ġnight	19.485354
6	3	Ġwe	10.261606
6	4	Ġsleep	11.864130
6	5	Ġour	7.885973
6	6	Ġminds	7.327187
6	7	Ġas	8.558734
6	8	Ġactive	13.449940
6	9	Ġwhen	11.715264
6	10	Ġwe	1.201389
6	11	Ġare	2.570194
6	12	Ġawake	1.956350
6	13	.	1.431842
6	14	Ġwe	11.625481
6	15	Ġdream	7.062129
6	16	Ġnight	12.063488
6	17	Ġcycles	13.552987
